timestep,green_count,green_success,orange_count,orange_success,red_count,red_success
5000,0,0,25,0,75,0
10000,8,2,39,7,53,0
15000,34,5,46,5,20,0
20000,25,17,71,35,4,0
25000,14,12,58,16,28,2
30000,14,10,44,38,42,35
35000,4,4,28,9,68,29
40000,1,0,41,10,58,8
45000,0,0,48,14,52,20
50000,21,19,66,16,13,1
55000,5,4,48,47,47,47
60000,22,13,67,32,11,9
65000,88,34,11,2,1,0
70000,4,4,87,35,9,0
75000,1,1,46,27,53,44
80000,21,5,71,19,8,2
85000,32,0,49,1,19,1
90000,63,62,11,9,26,22
95000,42,41,31,21,27,12
100000,25,25,28,8,47,10
105000,45,27,36,11,19,1
110000,5,1,27,1,68,0
115000,64,60,22,6,14,5
120000,38,36,34,16,28,1
125000,63,54,23,14,14,7
130000,79,79,17,17,4,2
135000,61,61,15,15,24,22
140000,70,64,29,14,1,0
145000,57,55,8,6,35,15
150000,71,71,26,25,3,3
155000,63,60,30,22,7,5
160000,68,68,32,26,0,0
165000,59,52,35,27,6,1
170000,69,69,28,23,3,2
175000,40,34,47,24,13,4
180000,52,49,32,18,16,9
185000,42,39,44,23,14,7
190000,24,23,51,18,25,4
195000,48,38,37,17,15,7
200000,57,54,34,23,9,8
205000,59,56,21,17,20,11
210000,61,57,25,20,14,6
215000,71,71,16,14,13,7
220000,58,56,20,11,22,5
225000,68,67,22,15,10,7
230000,66,63,23,20,11,5
235000,81,74,13,11,6,5
240000,81,80,14,9,5,5
245000,81,81,16,15,3,2
250000,74,73,20,19,6,3
255000,79,79,16,14,5,4
260000,85,81,14,12,1,1
265000,90,88,7,6,3,3
270000,85,85,11,11,4,4
275000,94,93,3,3,3,3
280000,94,94,5,5,1,1
285000,90,90,8,8,2,2
290000,88,88,9,9,3,3
295000,88,88,7,7,5,5
300000,79,79,17,17,4,2
